texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:673:42:673:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:674:20:674:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:674:49:674:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:676:1:676:103: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:677:1:677:103: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:678:1:678:103: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:679:1:679:104: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:681:1:681:169: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:681:31:681:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:681:86:681:113: s204 missing stylistic whitespaces
