texmf-dist/tex/generic/xint/xintcore.sty:213:45:213:45: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:214:5:214:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:215:2:215:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:217:10:217:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:217:13:217:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:217:14:217:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:218:13:218:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:219:10:219:10: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:219:16:219:16: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:221:2:221:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:222:43:222:43: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:224:2:224:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:225:17:225:25: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:226:2:226:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:227:5:227:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:228:2:228:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:230:12:230:12: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:231:9:231:9: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:231:14:231:14: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:233:2:233:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:234:5:234:13: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:235:2:235:2: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:237:11:237:11: s204 missing stylistic whitespaces
texmf-dist/tex/generic/xint/xintcore.sty:238:9:238:9: s204 missing stylistic whitespaces
