texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:483:33:483:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:483:38:483:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:487:2:487:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:521:39:521:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:521:45:521:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:521:48:521:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:521:51:521:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:524:50:524:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:524:59:524:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:525:41:525:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:525:54:525:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:537:56:537:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:539:1:539:243: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:539:139:539:139: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:539:232:539:232: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:551:56:551:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:553:1:553:300: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-coord.sty:553:170:553:170: s204 missing stylistic whitespaces
